"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
3,897024,"; _ZN2at6native29vectorized_elementwise_kernelILi8ENS0_13BUnaryFunctorIN3c108BFloat16ES4_S4_NS0_15binary_internal10MulFunctorIfEEEESt5arrayIPcLm2EEEEviT0_T1_",0,0,0,0,"void at::native::vectorized_elementwise_kernel<8, at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)"
3,897024,"s_load_dword s3, s[0:1], 0x0",484,13712,11776,32992,""
3,897032,"s_load_dword s8, s[0:1], 0x8",484,3292,1356,0,""
3,897040,"s_load_dwordx4 s[4:7], s[0:1], 0x10",484,3156,1216,0,""
3,897048,"s_lshl_b32 s2, s2, 11",484,3196,1260,0,""
3,897052,"s_mov_b64 s[0:1], -1",484,2276,336,0,""
3,897056,"s_waitcnt lgkmcnt(0)",484,25380,25380,0,""
3,897060,"s_sub_i32 s9, s3, s2",484,4828,2892,0,""
3,897064,"s_cmpk_gt_i32 s9, 0x7ff",484,2168,232,0,""
3,897068,"s_cbranch_scc0 102",484,1944,8,1936,""
3,897072,"s_ashr_i32 s3, s2, 31",484,2408,472,0,""
3,897076,"s_lshl_b64 s[0:1], s[2:3], 1",484,2280,344,0,""
3,897080,"s_add_u32 s10, s6, s0",484,2004,68,0,""
3,897084,"s_addc_u32 s11, s7, s1",484,2008,72,0,""
3,897088,"v_lshlrev_b32_e32 v1, 4, v0",484,54496,52560,212,""
3,897092,"global_load_dwordx4 v[2:5], v1, s[10:11]",484,6832,4704,3872,""
3,897100,"s_movk_i32 s3, 0x7fff",484,3068,1124,0,""
3,897104,"v_mov_b32_e32 v10, 0x7fc0",484,2100,164,0,""
3,897112,"s_mov_b32 s10, 0x5040100",484,2392,456,0,""
3,897120,"s_add_u32 s0, s4, s0",484,1936,0,0,""
3,897124,"s_addc_u32 s1, s5, s1",484,1936,0,0,""
3,897128,"s_waitcnt vmcnt(0)",484,919516,919516,0,""
3,897132,"v_and_b32_e32 v7, 0xffff0000, v3",484,4692,2756,0,""
3,897140,"v_lshlrev_b32_e32 v6, 16, v3",484,44356,42420,0,""
3,897144,"v_and_b32_e32 v3, 0xffff0000, v2",484,2324,388,0,""
3,897152,"v_lshlrev_b32_e32 v2, 16, v2",484,9680,7744,0,""
3,897156,"v_pk_mul_f32 v[2:3], s[8:9], v[2:3] op_sel_hi:[0,1]",484,2104,168,0,""
3,897164,"v_bfe_u32 v11, v2, 16, 1",484,2224,288,0,""
3,897172,"v_pk_mul_f32 v[6:7], s[8:9], v[6:7] op_sel_hi:[0,1]",484,2268,332,0,""
3,897180,"v_bfe_u32 v12, v3, 16, 1",484,2300,364,40,""
3,897188,"v_add3_u32 v11, v2, v11, s3",484,2400,464,0,""
3,897196,"v_and_b32_e32 v9, 0xffff0000, v5",484,2244,308,0,""
3,897204,"v_lshlrev_b32_e32 v8, 16, v5",484,2272,336,0,""
3,897208,"v_and_b32_e32 v5, 0xffff0000, v4",484,2056,120,0,""
3,897216,"v_lshlrev_b32_e32 v4, 16, v4",484,2176,240,512,""
3,897220,"v_bfe_u32 v13, v6, 16, 1",484,2160,224,0,""
3,897228,"v_add3_u32 v12, v3, v12, s3",484,2228,292,0,""
3,897236,"v_lshrrev_b32_e32 v11, 16, v11",484,2072,136,0,""
3,897240,"v_cmp_o_f32_e32 vcc, v2, v2",484,2092,156,0,""
3,897244,"v_pk_mul_f32 v[4:5], s[8:9], v[4:5] op_sel_hi:[0,1]",484,2092,156,0,""
3,897252,"v_bfe_u32 v14, v7, 16, 1",484,2124,188,0,""
3,897260,"v_add3_u32 v13, v6, v13, s3",484,2040,104,0,""
3,897268,"v_lshrrev_b32_e32 v12, 16, v12",484,2000,64,0,""
3,897272,"v_cndmask_b32_e32 v2, v10, v11, vcc",484,2032,96,0,""
3,897276,"v_cmp_o_f32_e32 vcc, v3, v3",484,1944,8,0,""
3,897280,"v_bfe_u32 v15, v4, 16, 1",484,1968,32,0,""
3,897288,"v_add3_u32 v14, v7, v14, s3",484,1968,32,0,""
3,897296,"v_lshrrev_b32_e32 v13, 16, v13",484,1940,4,0,""
3,897300,"v_cndmask_b32_e32 v11, v10, v12, vcc",484,1936,0,0,""
3,897304,"v_cmp_o_f32_e32 vcc, v6, v6",484,1944,8,0,""
3,897308,"v_pk_mul_f32 v[8:9], s[8:9], v[8:9] op_sel_hi:[0,1]",484,1936,0,0,""
3,897316,"v_bfe_u32 v16, v5, 16, 1",484,1936,0,0,""
3,897324,"v_add3_u32 v15, v4, v15, s3",484,1972,36,0,""
3,897332,"v_lshrrev_b32_e32 v14, 16, v14",484,1936,0,0,""
3,897336,"v_cndmask_b32_e32 v3, v10, v13, vcc",484,1936,0,0,""
3,897340,"v_cmp_o_f32_e32 vcc, v7, v7",484,1936,0,0,""
3,897344,"v_bfe_u32 v17, v8, 16, 1",484,1936,0,0,""
3,897352,"v_add3_u32 v16, v5, v16, s3",484,1936,0,0,""
3,897360,"v_lshrrev_b32_e32 v15, 16, v15",484,1936,0,0,""
3,897364,"v_cndmask_b32_e32 v6, v10, v14, vcc",484,1940,4,0,""
3,897368,"v_cmp_o_f32_e32 vcc, v4, v4",484,1936,0,0,""
3,897372,"v_bfe_u32 v18, v9, 16, 1",484,1936,0,0,""
3,897380,"v_add3_u32 v17, v8, v17, s3",484,1936,0,0,""
3,897388,"v_lshrrev_b32_e32 v16, 16, v16",484,1936,0,0,""
3,897392,"v_cndmask_b32_e32 v4, v10, v15, vcc",484,1936,0,0,""
3,897396,"v_cmp_o_f32_e32 vcc, v5, v5",484,1936,0,0,""
3,897400,"v_add3_u32 v18, v9, v18, s3",484,1936,0,0,""
3,897408,"v_lshrrev_b32_e32 v17, 16, v17",484,1936,0,0,""
3,897412,"v_cndmask_b32_e32 v7, v10, v16, vcc",484,1936,0,0,""
