"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
4,2698240,"; _ZN2at6native32elementwise_kernel_manual_unrollILi128ELi8EZNS0_22gpu_kernel_impl_nocastIZZZNS0_23direct_copy_kernel_cudaERNS_18TensorIteratorBaseEENKUlvE1_clEvENKUlvE10_clEvEUlN3c108BFloat16EE_EEvS4_RKT_EUlibE_EEviT1_",0,0,0,0,"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1})"
4,2698240,"s_load_dword s42, s[0:1], 0x0",514,13264,11208,25332,""
4,2698248,"s_load_dword s33, s[0:1], 0x8",514,3100,1044,0,""
4,2698256,"s_or_b32 s0, s0, 8",514,2880,820,0,""
4,2698260,"v_lshl_or_b32 v28, s2, 10, v0",514,4976,2908,0,""
4,2698268,"v_or_b32_e32 v32, 0x380, v28",514,3488,1428,76,""
4,2698276,"s_waitcnt lgkmcnt(0)",514,25160,25160,0,""
4,2698280,"v_cmp_le_i32_e32 vcc, s42, v32",514,3864,1800,0,""
4,2698284,"s_cmp_lg_u32 s33, 0",514,3272,1216,8216,""
4,2698288,"s_cselect_b64 s[28:29], -1, 0",514,2336,280,0,""
4,2698292,"s_and_saveexec_b64 s[2:3], vcc",514,2404,348,0,""
4,2698296,"s_xor_b64 s[2:3], exec, s[2:3]",514,2492,436,0,""
4,2698300,"s_cbranch_execz 1215",514,2124,68,0,""
4,2698304,"s_load_dwordx4 s[20:23], s[0:1], 0x148",0,0,0,0,""
4,2698312,"s_add_u32 s30, s0, 0xc4",0,0,0,0,""
4,2698320,"s_addc_u32 s31, s1, 0",0,0,0,0,""
4,2698324,"s_add_i32 s4, s33, -1",0,0,0,0,""
4,2698328,"s_min_u32 s43, s4, 15",0,0,0,0,""
4,2698332,"v_cmp_gt_i32_e32 vcc, s42, v28",0,0,0,0,""
4,2698336,"s_and_saveexec_b64 s[34:35], vcc",0,0,0,0,""
4,2698340,"s_cbranch_execnz 29",0,0,0,0,""
4,2698344,"s_or_b64 exec, exec, s[34:35]",0,0,0,0,""
4,2698348,"v_cmp_gt_i32_e32 vcc, s42, v28",0,0,0,0,""
4,2698352,"s_and_saveexec_b64 s[34:35], vcc",0,0,0,0,""
4,2698356,"s_cbranch_execnz 173",0,0,0,0,""
4,2698360,"s_or_b64 exec, exec, s[34:35]",0,0,0,0,""
4,2698364,"v_cmp_gt_i32_e32 vcc, s42, v28",0,0,0,0,""
4,2698368,"s_and_saveexec_b64 s[34:35], vcc",0,0,0,0,""
4,2698372,"s_cbranch_execnz 317",0,0,0,0,""
4,2698376,"s_or_b64 exec, exec, s[34:35]",0,0,0,0,""
4,2698380,"v_cmp_gt_i32_e32 vcc, s42, v28",0,0,0,0,""
4,2698384,"s_and_saveexec_b64 s[34:35], vcc",0,0,0,0,""
4,2698388,"s_cbranch_execnz 461",0,0,0,0,""
4,2698392,"s_or_b64 exec, exec, s[34:35]",0,0,0,0,""
4,2698396,"v_cmp_gt_i32_e32 vcc, s42, v28",0,0,0,0,""
4,2698400,"s_and_saveexec_b64 s[34:35], vcc",0,0,0,0,""
4,2698404,"s_cbranch_execnz 605",0,0,0,0,""
4,2698408,"s_or_b64 exec, exec, s[34:35]",0,0,0,0,""
4,2698412,"v_cmp_gt_i32_e32 vcc, s42, v28",0,0,0,0,""
4,2698416,"s_and_saveexec_b64 s[34:35], vcc",0,0,0,0,""
4,2698420,"s_cbranch_execnz 749",0,0,0,0,""
4,2698424,"s_or_b64 exec, exec, s[34:35]",0,0,0,0,""
4,2698428,"v_cmp_gt_i32_e32 vcc, s42, v28",0,0,0,0,""
4,2698432,"s_and_saveexec_b64 s[34:35], vcc",0,0,0,0,""
4,2698436,"s_cbranch_execnz 893",0,0,0,0,""
4,2698440,"s_or_b64 exec, exec, s[34:35]",0,0,0,0,""
4,2698444,"v_cmp_gt_i32_e32 vcc, s42, v28",0,0,0,0,""
4,2698448,"s_and_saveexec_b64 s[34:35], vcc",0,0,0,0,""
4,2698452,"s_cbranch_execnz 1037",0,0,0,0,""
4,2698456,"s_branch 1175",0,0,0,0,""
4,2698460,"v_mov_b64_e32 v[2:3], 0",0,0,0,0,""
4,2698464,"s_andn2_b64 vcc, exec, s[28:29]",0,0,0,0,""
4,2698468,"v_mov_b64_e32 v[0:1], v[2:3]",0,0,0,0,""
4,2698472,"s_cbranch_vccnz 128",0,0,0,0,""
4,2698476,"s_add_i32 s44, s43, 1",0,0,0,0,""
4,2698480,"s_mov_b32 s36, 0",0,0,0,0,""
4,2698484,"s_cmp_lt_u32 s33, 4",0,0,0,0,""
4,2698488,"s_cbranch_scc1 77",0,0,0,0,""
4,2698492,"s_and_b32 s36, s44, 28",0,0,0,0,""
4,2698496,"s_mov_b32 s37, 0",0,0,0,0,""
4,2698500,"v_mov_b32_e32 v0, 0",0,0,0,0,""
4,2698504,"s_mov_b64 s[38:39], s[0:1]",0,0,0,0,""
4,2698508,"s_mov_b64 s[40:41], s[30:31]",0,0,0,0,""
4,2698512,"v_mov_b32_e32 v2, v28",0,0,0,0,""
4,2698516,"v_mov_b32_e32 v1, 0",0,0,0,0,""
4,2698520,"s_load_dwordx8 s[12:19], s[38:39], 0x4",0,0,0,0,""
4,2698528,"s_load_dwordx4 s[24:27], s[38:39], 0x24",0,0,0,0,""
4,2698536,"s_load_dwordx8 s[4:11], s[40:41], 0x0",0,0,0,0,""
4,2698544,"s_add_u32 s38, s38, 48",0,0,0,0,""
4,2698548,"s_addc_u32 s39, s39, 0",0,0,0,0,""
4,2698552,"s_waitcnt lgkmcnt(0)",0,0,0,0,""
4,2698556,"v_mul_hi_u32 v3, s13, v2",0,0,0,0,""
4,2698564,"v_add_u32_e32 v3, v2, v3",0,0,0,0,""
4,2698568,"v_lshrrev_b32_e32 v3, s14, v3",0,0,0,0,""
4,2698572,"v_mul_lo_u32 v4, v3, s12",0,0,0,0,""
4,2698580,"v_mul_hi_u32 v5, s16, v3",0,0,0,0,""
4,2698588,"v_sub_u32_e32 v2, v2, v4",0,0,0,0,""
4,2698592,"v_add_u32_e32 v4, v3, v5",0,0,0,0,""
4,2698596,"v_lshrrev_b32_e32 v4, s17, v4",0,0,0,0,""
