"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
6,12858880,"s_nop 0",4,16,16,7172,""
6,12858884,"s_and_b32 s64, 0x3fffffff, s2",4,16,0,0,""
6,12858892,"s_lshr_b32 s65, s2, 30",4,16,0,0,""
6,12858896,"s_mov_b32 s66, s3",4,16,0,0,""
6,12858900,"s_cmp_eq_u32 s65, 0",4,16,0,0,""
6,12858904,"s_cbranch_scc0 17",4,16,0,16,""
6,12858908,"s_add_u32 s0, s0, 16",4,16,0,0,""
6,12858912,"s_addc_u32 s1, s1, 0",4,16,0,48,""
6,12858916,"s_load_dword s27, s[0:1], 0x1c",4,16,0,0,""
6,12858924,"s_load_dwordx16 s[28:43], s[0:1], 0x20",4,16,0,0,""
6,12858932,"s_load_dwordx4 s[44:47], s[0:1], 0x60",4,16,0,0,""
6,12858940,"s_load_dwordx2 s[48:49], s[0:1], 0x70",4,16,0,0,""
6,12858948,"s_load_dword s50, s[0:1], 0x78",4,16,0,0,""
6,12858956,"s_mov_b64 s[20:21], s[6:7]",4,16,0,0,""
6,12858960,"s_mov_b64 s[22:23], s[8:9]",4,16,0,0,""
6,12858964,"s_mov_b64 s[24:25], s[10:11]",4,16,0,0,""
6,12858968,"s_mov_b32 s26, s12",4,16,0,0,""
6,12858972,"s_branch 1",4,16,0,0,""
6,12858980,"s_mov_b32 s7, s4",4,16,0,64,""
6,12858984,"s_mov_b32 s67, s5",4,16,0,0,""
6,12858988,"s_mov_b32 s2, s13",4,16,0,0,""
6,12858992,"s_mov_b32 s3, s14",4,16,0,0,""
6,12858996,"s_mov_b32 s4, s15",4,16,0,0,""
6,12859000,"s_and_b32 s6, s66, 0xffff0000",4,16,0,0,""
6,12859008,"s_lshr_b32 s6, s6, 16",4,16,0,0,""
6,12859012,"s_mov_b32 s5, s65",4,16,0,0,""
6,12859016,"s_mov_b32 m0, 0x20500",4,16,0,0,""
6,12859024,"v_mov_b32_e32 v180, v0",4,16,0,0,""
6,12859028,"s_lshr_b32 s72, s7, 16",4,16,0,0,""
6,12859032,"s_ff1_i32_b32 s72, s72",4,16,0,0,""
6,12859036,"s_lshr_b32 s73, s7, 22",4,16,0,0,""
6,12859040,"s_cmp_gt_i32 s72, 0",4,16,0,0,""
6,12859044,"s_cbranch_scc0 66",4,16,0,16,""
6,12859048,"s_lshr_b32 s69, s67, s72",4,16,0,0,""
6,12859052,"s_lshl_b32 s69, s69, s72",4,16,0,0,""
6,12859056,"s_cmp_ge_u32 s2, s69",4,16,0,0,""
6,12859060,"s_cbranch_scc1 62",4,16,0,16,""
6,12859064,"s_cmp_eq_u32 s73, 0",4,16,0,0,""
6,12859068,"s_cbranch_scc0 7",4,16,0,16,""
6,12859100,"v_cvt_f32_u32_e32 v18, s73",4,64,48,64,""
6,12859104,"v_rcp_iflag_f32_e32 v18, v18",4,32,0,36,""
6,12859108,"v_cvt_f32_u32_e32 v19, s2",4,28,12,0,""
6,12859112,"v_mul_f32_e32 v18, v18, v19",4,204,188,0,""
6,12859116,"v_cvt_u32_f32_e32 v18, v18",4,16,0,0,""
6,12859120,"v_mul_u32_u24_e64 v19, v18, s73",4,16,0,0,""
6,12859128,"v_sub_u32_e32 v19, s2, v19",4,28,12,0,""
6,12859132,"v_cmpx_eq_u32_e64 exec, v19, s73",4,16,0,0,""
6,12859140,"v_add_u32_e32 v18, 1, v18",4,16,0,0,""
6,12859144,"v_mov_b32_e32 v19, 0",4,16,0,0,""
6,12859148,"s_mov_b64 exec, -1",4,16,0,32,""
6,12859152,"v_cmpx_gt_u32_e64 exec, v19, s73",4,24,8,0,""
6,12859160,"v_sub_u32_e64 v18, v18, 1",4,72,56,0,""
6,12859168,"v_mul_u32_u24_e64 v19, v18, s73",4,16,0,0,""
6,12859176,"v_sub_u32_e32 v19, s2, v19",4,16,0,0,""
6,12859180,"s_mov_b64 exec, -1",4,16,0,12,""
6,12859184,"v_readfirstlane_b32 s69, v18",4,16,0,0,""
6,12859188,"v_readfirstlane_b32 s70, v19",4,16,0,0,""
6,12859192,"s_mul_i32 s69, s69, s73",4,16,0,64,""
6,12859196,"s_lshr_b32 s70, s70, s72",4,16,0,0,""
6,12859200,"s_add_u32 s69, s69, s70",4,16,0,0,""
6,12859204,"v_cvt_f32_u32_e32 v18, s73",4,16,0,0,""
6,12859208,"v_rcp_iflag_f32_e32 v18, v18",4,32,0,0,""
6,12859212,"v_cvt_f32_u32_e32 v19, s67",4,16,0,0,""
6,12859216,"v_mul_f32_e32 v18, v18, v19",4,16,0,0,""
6,12859220,"v_cvt_u32_f32_e32 v18, v18",4,16,0,0,""
6,12859224,"v_mul_u32_u24_e64 v19, v18, s73",4,16,0,0,""
6,12859232,"v_sub_u32_e32 v19, s67, v19",4,16,0,0,""
6,12859236,"v_cmpx_eq_u32_e64 exec, v19, s73",4,16,0,0,""
6,12859244,"v_add_u32_e32 v18, 1, v18",4,16,0,0,""
6,12859248,"s_mov_b64 exec, -1",4,16,0,48,""
6,12859252,"v_cmpx_gt_u32_e64 exec, v19, s73",4,16,0,0,""
6,12859260,"v_sub_u32_e64 v18, v18, 1",4,16,0,0,""
6,12859268,"s_mov_b64 exec, -1",4,16,0,48,""
6,12859272,"v_readfirstlane_b32 s70, v18",4,16,0,0,""
6,12859276,"s_mul_i32 s70, s70, s73",4,16,0,64,""
6,12859280,"s_sub_u32 s71, s67, s70",4,16,0,0,""
6,12859284,"s_cmp_gt_u32 s2, s70",4,16,0,0,""
6,12859288,"s_cselect_b32 s70, s71, s73",4,16,0,0,""
6,12859292,"s_lshr_b32 s70, s70, s72",4,16,0,0,""
6,12859296,"s_bfm_b32 s71, s72, 0",4,16,0,0,""
6,12859300,"s_and_b32 s71, s2, s71",4,16,0,0,""
6,12859304,"s_mul_i32 s70, s70, s71",4,16,0,0,""
6,12859308,"s_add_u32 s2, s69, s70",4,16,0,0,""
6,12859312,"s_cmp_eq_u32 s65, 0",4,16,0,0,""
6,12859316,"s_cbranch_scc0 33",4,16,0,16,""
6,12859320,"v_mov_b32_e32 v20, 0x100",4,16,0,0,""
6,12859328,"v_mov_b32_e32 v19, s20",4,16,0,48,""
6,12859332,"v_cvt_f32_u32_e32 v18, v20",4,104,88,0,""
6,12859336,"v_rcp_iflag_f32_e32 v18, v18",4,132,100,0,""
6,12859340,"v_cvt_f32_u32_e32 v21, v19",4,84,68,0,""
6,12859344,"v_mul_f32_e32 v18, v18, v21",4,28,12,0,""
6,12859348,"v_cvt_u32_f32_e32 v18, v18",4,16,0,0,""
6,12859352,"v_mul_u32_u24_e32 v21, v18, v20",4,16,0,0,""
6,12859356,"v_sub_u32_e32 v21, v19, v21",4,32,16,0,""
6,12859360,"v_cmp_ne_u32_e64 vcc, v21, 0",4,16,0,0,""
6,12859368,"v_addc_co_u32_e64 v18, vcc, v18, 0, vcc",4,16,0,0,""
6,12859376,"v_mov_b32_e32 v20, 0x100",4,16,0,0,""
6,12859384,"v_mov_b32_e32 v19, s21",4,16,0,0,""
6,12859388,"v_readfirstlane_b32 s10, v18",4,16,0,0,""
6,12859392,"v_cvt_f32_u32_e32 v18, v20",4,16,0,0,""
6,12859396,"v_rcp_iflag_f32_e32 v18, v18",4,32,0,0,""
6,12859400,"v_cvt_f32_u32_e32 v21, v19",4,48,32,0,""
6,12859404,"v_mul_f32_e32 v18, v18, v21",4,16,0,0,""
6,12859408,"v_cvt_u32_f32_e32 v18, v18",4,16,0,0,""
6,12859412,"v_mul_u32_u24_e32 v21, v18, v20",4,16,0,0,""
6,12859416,"v_sub_u32_e32 v21, v19, v21",4,16,0,0,""
6,12859420,"v_cmp_ne_u32_e64 vcc, v21, 0",4,16,0,0,""
6,12859428,"v_addc_co_u32_e64 v18, vcc, v18, 0, vcc",4,16,0,0,""
6,12859436,"s_nop 0",4,16,16,0,""
6,12859440,"v_readfirstlane_b32 s11, v18",4,16,0,0,""
6,12859444,"s_waitcnt lgkmcnt(0)",4,2208,2208,0,""
6,12859448,"s_branch 116",4,16,0,0,""
6,12859916,"s_mov_b32 s83, 0x5040100",4,16,0,64,""
6,12859924,"s_mov_b32 s84, 0x7060302",4,16,0,0,""
6,12859932,"s_sub_u32 s28, s28, 16",4,16,0,0,""
6,12859936,"s_subb_u32 s29, s29, 0",4,16,0,16,""
6,12859940,"s_sub_u32 s30, s30, 16",4,16,0,0,""
6,12859944,"s_subb_u32 s31, s31, 0",4,16,0,0,""
6,12859948,"v_cmp_eq_f32_e64 vcc, s44, 0",4,16,0,0,""
6,12859956,"s_cbranch_vccz 1",4,16,0,80,""
6,12859964,"s_mov_b32 s55, s2",4,16,0,64,""
6,12859968,"s_mul_i32 s56, s55, s46",4,16,0,48,""
6,12859972,"s_mov_b32 s57, s47",4,16,0,0,""
6,12859976,"s_and_b32 s85, s49, 0xffff",4,16,0,0,""
6,12859984,"s_mul_i32 s85, s85, s46",4,16,0,0,""
6,12859988,"s_cmp_lt_u32 s85, s47",4,16,0,0,""
6,12859992,"s_cbranch_scc1 13",4,16,0,16,""
6,12860048,"s_cmp_lt_u32 s56, s47",4,16,0,64,""
6,12860052,"s_cbranch_scc1 6",4,16,0,16,""
6,12860080,"v_xor_b32_e32 v18, v178, v16",16,220,156,292,""
6,12860084,"v_min_i32_e32 v16, v16, v18",16,152,88,0,""
6,12860088,"v_xor_b32_e32 v18, v179, v17",16,212,148,0,""
6,12860092,"v_min_i32_e32 v17, v17, v18",16,152,88,0,""
6,12860096,"v_cvt_f32_u32_e32 v18, s46",16,152,88,0,""
6,12860100,"v_rcp_iflag_f32_e32 v18, v18",16,136,8,0,""
6,12860104,"v_cvt_f32_u32_e32 v19, s56",16,148,84,0,""
6,12860108,"v_mul_f32_e32 v18, v18, v19",16,240,176,0,""
6,12860112,"v_cvt_u32_f32_e32 v18, v18",16,128,64,0,""
6,12860116,"v_mul_u32_u24_e64 v19, v18, s46",16,100,36,0,""
6,12860124,"v_sub_u32_e32 v19, s56, v19",16,132,68,0,""
6,12860128,"v_cmpx_eq_u32_e64 exec, v19, s46",16,64,0,0,""
6,12860136,"v_add_u32_e32 v18, 1, v18",16,100,36,0,""
6,12860140,"s_mov_b64 exec, -1",16,64,0,180,""
6,12860144,"v_cmpx_gt_u32_e64 exec, v19, s46",16,124,60,0,""
6,12860152,"v_sub_u32_e64 v18, v18, 1",16,64,0,0,""
6,12860160,"s_mov_b64 exec, -1",16,64,0,192,""
6,12860164,"v_readfirstlane_b32 s86, v18",16,64,0,0,""
6,12860168,"s_mul_i32 s87, s86, s46",16,64,0,256,""
6,12860172,"s_add_u32 s88, s87, s46",16,64,0,0,""
6,12860176,"s_sub_u32 s58, s56, s87",16,64,0,0,""
6,12860180,"s_min_u32 s59, s57, s88",16,64,0,0,""
6,12860184,"s_sub_u32 s59, s59, s87",16,64,0,0,""
6,12860188,"s_and_b32 s89, s49, 0xffff",16,64,0,0,""
6,12860196,"s_mul_i32 s89, s89, s46",16,64,0,0,""
6,12860200,"s_sub_u32 s89, s47, s89",16,64,0,0,""
6,12860204,"s_lshr_b32 s87, s49, 16",16,64,0,0,""
6,12860208,"s_mul_i32 s87, s87, s46",16,64,0,0,""
6,12860212,"s_add_u32 s87, s87, s56",16,64,0,0,""
6,12860216,"s_cmp_lt_u32 s87, s89",16,64,0,0,""
6,12860220,"s_cbranch_scc1 23",16,64,0,64,""
6,12860224,"s_mov_b32 s87, s88",8,32,0,128,""
6,12860228,"s_cmp_le_u32 s89, s56",8,32,0,0,""
6,12860232,"s_cbranch_scc1 20",8,32,0,32,""
6,12860236,"s_mul_i32 s56, s55, s48",4,16,0,0,""
6,12860240,"s_add_u32 s56, s56, s50",4,16,0,0,""
6,12860244,"s_add_u32 s57, s56, s48",4,16,0,0,""
6,12860248,"s_add_u32 s91, s48, 1",4,16,0,0,""
6,12860252,"s_mul_i32 s90, s55, s91",4,16,0,0,""
